------------------- A = 6 ------------------------------------ 
0 {'a': 6, 'pc': 3, 'c': 0, 'b': 5, 'd': 6}
0 {'a': 30, 'pc': 13, 'c': 4, 'b': 4, 'd': 4}
0 {'a': 30, 'pc': 3, 'c': -16, 'b': 4, 'd': 30}
0 {'a': 120, 'pc': 13, 'c': 3, 'b': 3, 'd': 3}
0 {'a': 120, 'pc': 3, 'c': -16, 'b': 3, 'd': 120}
0 {'a': 360, 'pc': 13, 'c': 2, 'b': 2, 'd': 2}
0 {'a': 360, 'pc': 3, 'c': -16, 'b': 2, 'd': 360}
0 {'a': 720, 'pc': 13, 'c': 1, 'b': 1, 'd': 1}
0 {'a': 720, 'pc': 21, 'c': 94, 'b': 1, 'd': 82}  <--- At this point a=6! c=94, d=82
0 {'a': 802, 'pc': 21, 'c': 93, 'b': 1, 'd': 82}
0 {'a': 884, 'pc': 21, 'c': 92, 'b': 1, 'd': 82}
0 {'a': 966, 'pc': 21, 'c': 91, 'b': 1, 'd': 82}
0 {'a': 1048, 'pc': 21, 'c': 90, 'b': 1, 'd': 82}
0 {'a': 1130, 'pc': 21, 'c': 89, 'b': 1, 'd': 82}
0 {'a': 1212, 'pc': 21, 'c': 88, 'b': 1, 'd': 82}
0 {'a': 1294, 'pc': 21, 'c': 87, 'b': 1, 'd': 82}
0 {'a': 1376, 'pc': 21, 'c': 86, 'b': 1, 'd': 82}
0 {'a': 1458, 'pc': 21, 'c': 85, 'b': 1, 'd': 82}
0 {'a': 1540, 'pc': 21, 'c': 84, 'b': 1, 'd': 82}
0 {'a': 1622, 'pc': 21, 'c': 83, 'b': 1, 'd': 82}
0 {'a': 1704, 'pc': 21, 'c': 82, 'b': 1, 'd': 82}
0 {'a': 1786, 'pc': 21, 'c': 81, 'b': 1, 'd': 82}
0 {'a': 1868, 'pc': 21, 'c': 80, 'b': 1, 'd': 82}
0 {'a': 1950, 'pc': 21, 'c': 79, 'b': 1, 'd': 82}
0 {'a': 2032, 'pc': 21, 'c': 78, 'b': 1, 'd': 82}
0 {'a': 2114, 'pc': 21, 'c': 77, 'b': 1, 'd': 82}
0 {'a': 2196, 'pc': 21, 'c': 76, 'b': 1, 'd': 82}
0 {'a': 2278, 'pc': 21, 'c': 75, 'b': 1, 'd': 82}
